Date,Open Price,High Price,Low Price,Close Price,Deliverable Volume
2021-01-01,2880.0,2940.0,2879.0,2928.25,504010
2021-01-04,2950.0,3050.75,2940.95,3039.45,1182335
2021-01-05,3039.6,3114.25,3039.6,3093.0,1554550
2021-01-06,3100.0,3113.5,3037.2,3051.5,1054841
2021-01-07,3075.0,3080.85,3000.25,3032.8,1490971
2021-01-08,3090.0,3128.0,3060.0,3120.9,1754802
2021-01-11,3230.0,3230.0,3146.55,3176.45,3153741
2021-01-12,3176.45,3210.0,3150.0,3174.85,1656842
2021-01-13,3175.0,3177.0,3126.25,3158.95,1857249
2021-01-14,3155.0,3266.5,3120.4,3250.7,3067056
2021-01-15,3235.0,3274.0,3210.0,3233.35,1959292
2021-01-18,3250.0,3256.75,3187.4,3221.75,2204487
2021-01-19,3233.0,3279.0,3232.0,3260.7,1409143
2021-01-20,3270.0,3327.95,3267.1,3308.8,1498128
2021-01-21,3305.0,3309.15,3262.1,3273.85,1222458
2021-01-22,3241.9,3325.0,3241.9,3303.1,1419347
2021-01-25,3308.95,3339.8,3278.65,3291.3,1208668
2021-01-27,3300.0,3306.45,3227.0,3261.05,1396514
2021-01-28,3230.0,3275.0,3183.8,3196.55,1689185
2021-01-29,3210.05,3216.85,3100.0,3111.35,3601765
2021-02-01,3100.0,3165.0,3044.1,3139.35,2125201
2021-02-02,3174.0,3224.0,3150.0,3203.45,1461083
2021-02-03,3213.0,3236.0,3162.65,3200.05,916858
2021-02-04,3216.05,3237.85,3176.0,3188.45,994481
2021-02-05,3198.95,3205.85,3129.0,3157.95,992928
2021-02-08,3189.5,3226.0,3155.15,3214.1,1160977
2021-02-09,3195.0,3245.8,3164.0,3176.9,1305574
2021-02-10,3185.0,3219.4,3157.3,3213.3,713331
2021-02-11,3215.0,3219.3,3185.05,3206.0,466871
2021-02-12,3184.2,3245.5,3182.0,3190.8,872187
2021-02-15,3209.0,3209.0,3131.55,3139.85,1214830
2021-02-16,3150.0,3167.65,3100.0,3108.8,1651579
2021-02-17,3105.1,3132.85,3045.55,3073.1,1516981
